# anmx, denit, ox, red, nitox, dnrn, caco3 diss, other DIC
9.838760326001424517e+01,1.612396739985720417e+00,9.689102516103250196e+01,3.108974838967849763e+00,5.006885826336863943e+01,4.993114173663133215e+01,4.032329385076043771e+00,9.596767061492379014e+01
9.811420460579319069e+01,1.885795394206808639e+00,9.996875001331083865e+01,3.124998668916255731e-02,5.375343136345824746e+01,4.624656863654175254e+01,2.684180928467877081e+01,7.315819071532125406e+01
4.451973230797159431e+01,5.548026769202856912e+01,1.398007998243436667e+01,8.601992001756546813e+01,4.923409504075293874e+00,9.507659049592456313e+01,7.655771395371515631e+00,9.234422860462852611e+01
4.281748647827046739e+01,5.718251352172951130e+01,7.552649142145105543e+01,2.447350857854867812e+01,4.010625938734558815e+01,5.989374061265437632e+01,5.928475928353429936e+01,4.071524071646582144e+01
6.069470829748699003e+01,3.930529170251335103e+01,7.677722029407463822e+01,2.322277970592517349e+01,4.374058539052444416e+01,5.625941460947573347e+01,1.540224413136299653e+01,8.459775586863662511e+01
7.711053682509826501e+01,2.288946317490184157e+01,9.660191996498674882e+01,3.398080035013085531e+00,4.799226445390395668e+01,5.200773554609605753e+01,3.720421514743539149e+01,6.279578485256482168e+01
6.762256078885341992e+01,3.237743921114665824e+01,9.484969873856508116e+01,5.150301261435060951e+00,4.812193564345658814e+01,5.187806435654342607e+01,2.806709304961913176e+01,7.193290695038078297e+01
6.334580336248346555e+01,3.665419663751644919e+01,8.247265801930677753e+01,1.752734198069345339e+01,4.159524913781702082e+01,5.840475086218280154e+01,3.768447347940778513e+01,6.231552652059249908e+01
7.851696108329213075e+01,2.148303891670761345e+01,8.777712701195954992e+01,1.222287298803991717e+01,4.605680763276077272e+01,5.394319236723924149e+01,3.359890440611165019e+01,6.640109559388875482e+01
8.184961166436477242e+01,1.815038833563534126e+01,9.540864419697714993e+01,4.591355803022826088e+00,4.846750024323790029e+01,5.153249975676211392e+01,3.756881473991892761e+01,6.243118526008082370e+01
4.063674744863480726e+01,5.936325255136524959e+01,6.778805312502564107e+01,3.221194687497451525e+01,3.875212227369772222e+01,6.124787772630201488e+01,1.678385048240703625e+01,8.321614951759319467e+01
6.045017597364943640e+01,3.954982402635056360e+01,7.938828367299569777e+01,2.061171632700440881e+01,4.419422324665385560e+01,5.580577675334606624e+01,3.341056552789247291e+01,6.658943447210779709e+01
7.218039885446431470e+01,2.781960114553577768e+01,8.568375173594857586e+01,1.431624826405164796e+01,4.634522773632871662e+01,5.365477226367126207e+01,3.594883830864114316e+01,6.405116169135924054e+01
7.116520795345259387e+01,2.883479204654700823e+01,8.991913065328226651e+01,1.008086934671734802e+01,4.734464005994391300e+01,5.265535994005605147e+01,3.578355425695109915e+01,6.421644574304899322e+01
6.450357109414846946e+01,3.549642890585174371e+01,8.432425439119276689e+01,1.567574560880753509e+01,4.582177533343832465e+01,5.417822466656149061e+01,3.558568718998532887e+01,6.441431281001439402e+01
9.665312100166761411e+01,3.346878998332401434e+00,9.693124226158815304e+01,3.068757738411556080e+00,4.974493347632878226e+01,5.025506652367119642e+01,3.707263445691201298e+01,6.292736554308815045e+01
